DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-10-2025,EQ,342.55,349.9,341.6,345.5,348.4,348.3,346.55,349.9,194.8,15972103,5535210085,116315
09-10-2025,EQ,345,347.5,342.9,341.65,345.5,345.5,345.4,347.5,194.8,23497999,8116162121,158165
08-10-2025,EQ,337.65,342.9,336.05,337.85,341.15,341.65,339.9,343.9,194.8,16799915,5710351311,122181
07-10-2025,EQ,335.5,341.6,333.2,335.1,337.85,337.85,338.47,343.9,194.8,19836347,6714058028,237345
06-10-2025,EQ,326.5,336.3,326.5,328.45,335.6,335.1,333.46,343.9,194.8,13705095,4570061747,141402
03-10-2025,EQ,326.2,334.8,324,329,328.2,328.45,329.15,343.9,194.8,25648590,8442234270,174398
01-10-2025,EQ,323.1,330.25,320.8,325.5,329.45,329,325.86,343.9,194.8,18366563,5984872101,134184
30-09-2025,EQ,325.1,328.05,323.5,324.85,325.8,325.5,325.73,343.9,194.8,18841393,6137257764,146594
29-09-2025,EQ,326.95,328.8,324.25,321,325.1,324.85,326.13,343.9,194.8,21653802,7061982315,138694
26-09-2025,EQ,331,332.9,320,332.25,322.9,321,324.62,343.9,194.8,26840537,8713072141,202832
25-09-2025,EQ,334,335.8,331.2,335.8,332.55,332.25,333.28,343.9,194.8,16653312,5550137030,128229
24-09-2025,EQ,336.2,338,335.35,338.35,336.3,335.8,336.5,343.9,194.8,12073297,4062636196,88898
23-09-2025,EQ,340.95,341.3,336.7,341.85,338.8,338.35,338.54,343.9,194.8,15144828,5127174317,108535
22-09-2025,EQ,340,343.9,336.7,336.55,341.95,341.85,341.33,343.9,194.8,28626249,9770922094,209268
19-09-2025,EQ,337,340,334.55,337.85,337.65,336.55,337.19,340,194.8,29146789,9828086387,144330
18-09-2025,EQ,328.8,338.5,328.3,328.25,337.85,337.85,334.23,338.5,194.8,36575258,12224508607,222867
17-09-2025,EQ,327.3,330,325.3,327.3,327.7,328.25,327.31,334.4,194.8,14901358,4877418600,99995
16-09-2025,EQ,323,327.8,322,323.3,327.15,327.3,325.03,334.4,194.8,19198538,6240158341,177631
15-09-2025,EQ,322.95,325.6,321.5,321.4,323.6,323.3,323.34,334.4,194.8,16287174,5266360024,123306
12-09-2025,EQ,327.1,327.9,320.7,328.1,321.85,321.4,323.84,334.4,194.8,19923948,6452157682,134943
11-09-2025,EQ,325,331.35,324.7,324.4,328.35,328.1,328.5,334.4,194.8,22336999,7337740422,127971
10-09-2025,EQ,328.95,328.95,322.8,325.7,324.7,324.4,324.47,334.4,194.8,18981939,6158982506,145650
09-09-2025,EQ,329,329.65,323.75,329.65,325.7,325.7,325.8,334.4,194.8,19658627,6404762184,139532
08-09-2025,EQ,331,332.2,328.2,329.15,329.3,329.65,330.26,334.4,194.8,17188065,5676444801,130710
05-09-2025,EQ,327.55,334.4,326.3,326.25,329.5,329.15,331.42,334.4,194.8,31645035,10487939050,205337
04-09-2025,EQ,328,329,322.8,326.1,327.55,326.25,324.92,331.35,194.8,43285629,14064454737,144633
03-09-2025,EQ,325.1,328.75,322,322.4,326.3,326.1,324.87,331.35,194.8,46674039,15162971208,162424
02-09-2025,EQ,322.85,327.4,320.45,321.1,322.85,322.4,323.31,331.35,194.8,48878436,15803081170,197634
01-09-2025,EQ,313.95,322.5,313.95,313.95,321.35,321.1,318.4,331.35,194.8,47888390,15247702044,155088
29-08-2025,EQ,315.55,316.75,307.75,315.5,315.6,313.95,311.9,331.35,194.8,62441100,19475662912,179189
28-08-2025,EQ,321.2,323.1,313.25,317.9,315.95,315.5,317.72,331.35,194.8,44020764,13986485895,257665
26-08-2025,EQ,317.3,321.5,315.05,319.25,320.75,317.9,317.96,331.35,194.8,438503024,1.39426E+11,272966
25-08-2025,EQ,320,323.8,316.55,319.1,320.5,319.25,320.21,331.35,194.8,20880241,6686016776,122997
22-08-2025,EQ,321.8,324,318.25,321.8,318.75,319.1,320.92,331.35,194.8,22869858,7339310268,125211
21-08-2025,EQ,324.6,325.9,321,326.55,321.5,321.8,322.88,331.35,194.8,22056606,7121582463,151032
20-08-2025,EQ,322.4,331.35,320.35,321.45,325.25,326.55,327.28,331.35,194.8,55734714,18240824012,302030
19-08-2025,EQ,316.5,321.9,311.7,314.9,321,321.45,317.88,323.7,194.8,36592945,11632310624,215187
18-08-2025,EQ,318.4,323.7,313.65,318.4,314.1,314.9,317.73,323.7,194.8,42357084,13458052027,230331
14-08-2025,EQ,313,319.8,310.65,312.35,317.7,318.4,316.21,319.8,194.8,45892250,14511601764,179541
13-08-2025,EQ,305.9,314,305.55,305.9,312.9,312.35,311.27,314.45,194.8,28119116,8752511768,144822
12-08-2025,EQ,309.4,310,304.55,309.4,305.3,305.9,306.57,314.45,194.8,20834370,6387153974,130692
11-08-2025,EQ,300.9,310.4,299.5,300.9,309,309.4,305.31,314.45,194.8,44948318,13723244768,182343
08-08-2025,EQ,300.35,302.4,298.1,301.75,300.3,300.9,300.72,314.45,194.8,28458176,8557939943,128642
07-08-2025,EQ,291.55,303.2,288.4,298.85,303.2,301.75,293.08,314.45,194.8,391548871,1.14754E+11,458929
06-08-2025,EQ,302,302.5,295.45,302.15,300.05,298.85,298.65,314.45,194.8,22012280,6574035466,153111
05-08-2025,EQ,306.9,307.6,301.7,305.25,301.95,302.15,303.43,314.45,194.8,14820256,4496974492,120231
04-08-2025,EQ,303,307,300.45,304.75,305.95,305.25,304.17,314.45,194.8,21862121,6649829152,114728
01-08-2025,EQ,309.8,310.45,303.95,307.8,304.6,304.75,305.92,314.45,194.8,16415906,5021915690,115059
31-07-2025,EQ,300,311.15,299.3,303.45,308.85,307.8,307.57,314.45,194.8,32474675,9988133418,237848
30-07-2025,EQ,306.55,308.15,301.8,306.55,304.15,303.45,304.42,314.45,194.8,21677387,6599128398,143435
29-07-2025,EQ,305,307.2,300,307.3,306.4,306.55,303.94,314.45,194.8,23521231,7149094334,149552
28-07-2025,EQ,310,312.25,306.6,310.55,307.05,307.3,309.17,314.45,194.8,24882879,7692972748,246142
25-07-2025,EQ,309.95,314.15,306.3,313.15,310.5,310.55,310.42,314.45,194.8,50941177,15813414352,303907
24-07-2025,EQ,302.25,314.45,302,302.05,312.45,313.15,311.13,314.45,194.8,120603751,37523099126,422495
23-07-2025,EQ,298,303.55,296.3,299.8,302.25,302.05,300.82,311.25,194.8,68915203,20730770838,362344
22-07-2025,EQ,293,311.25,289.65,271.7,299.75,299.8,301.15,311.25,194.8,269332774,81108764917,1071490
21-07-2025,EQ,257,277,256.65,257.2,276.5,271.7,268.62,304.7,194.8,67508530,18133871245,267311
18-07-2025,EQ,259.95,260.2,256.75,259.65,257.7,257.2,257.71,304.7,194.8,13584890,3500976555,108322
17-07-2025,EQ,263,263.7,258.6,262.35,259.75,259.65,260.36,304.7,194.8,17544857,4567999037,125930
16-07-2025,EQ,263.15,266.95,261.25,266.45,262.1,262.35,262.85,304.7,194.8,17828906,4686240954,191778
15-07-2025,EQ,271.9,272.4,265.15,270.6,266.9,266.45,267.52,304.7,194.8,35090527,9387474948,158239
14-07-2025,EQ,264.95,277.75,262.3,263.35,271,270.6,271.02,304.7,194.8,50184664,13601281571,252843
11-07-2025,EQ,260,264.95,260,262.85,263.1,263.35,263.18,304.7,194.8,16528109,4349862468,122088
10-07-2025,EQ,265.1,267.25,262.25,264.55,262.35,262.85,264.31,304.7,194.8,17136740,4529422663,100241
09-07-2025,EQ,263.65,265.45,261.8,263.5,264,264.55,264.12,304.7,194.8,18477582,4880287242,119450
08-07-2025,EQ,259.65,264.2,259.5,258.55,263.65,263.5,262.78,304.7,194.8,18312891,4812288026,106972
07-07-2025,EQ,261.4,261.55,256.2,261.4,259.2,258.55,257.95,304.7,194.8,25446186,6563899460,148010
04-07-2025,EQ,262.1,263.7,259.65,260.85,261.2,261.4,262.19,304.7,194.56,13076740,3428649602,104021
03-07-2025,EQ,260.1,264.3,260,259.75,260.6,260.85,261.83,304.7,194.56,19402947,5080183200,149943
02-07-2025,EQ,260.5,261.85,257.6,261,260,259.75,259.53,304.7,194.56,14940247,3877508649,97408
01-07-2025,EQ,264.75,264.85,259.6,264.15,260.85,261,261.54,304.7,194.56,17220730,4503889586,146126
30-06-2025,EQ,262,265.19,262,261.86,263.95,264.15,264.04,304.7,194.56,21588949,5700362540,202463
27-06-2025,EQ,266.49,266.49,261,265.18,263.01,261.86,262.2,304.7,191.95,61545458,16137265011,241193
26-06-2025,EQ,259.42,266.25,258.95,258.86,265.2,265.18,263.39,304.7,191.95,47100081,12405641802,235956
25-06-2025,EQ,256.11,259.42,255.1,255.07,258.6,258.86,258.14,304.7,191.95,26412599,6818196863,151870
24-06-2025,EQ,257,260,254.22,254.64,255.07,255.07,257.19,304.7,191.95,35638629,9165851892,199324
23-06-2025,EQ,250.15,255.8,250.05,253.33,254.5,254.64,253.88,304.7,191.95,21523144,5464308214,137482
20-06-2025,EQ,249.01,254.15,249.01,249.42,253,253.33,252.26,304.7,184.8,50201710,12664109713,196519
19-06-2025,EQ,247.99,254.8,247.21,248.41,248.25,249.42,250.26,304.7,184.8,32347921,8095501336,185404
18-06-2025,EQ,247.3,250.21,247.16,247.25,247.87,248.41,248.68,304.7,184.8,17297196,4301485975,127500
17-06-2025,EQ,251.3,252,246.85,252.15,246.96,247.25,248.68,304.7,184.8,20651969,5135680091,128623
16-06-2025,EQ,249,253.52,248.71,249.08,252.5,252.15,250.95,304.7,184.8,26481959,6645698709,166559
13-06-2025,EQ,243.26,250.24,243.26,251.56,249.5,249.08,248.46,304.7,179.33,30512913,7581305375,148350
12-06-2025,EQ,257.07,257.1,250.35,257.07,251,251.56,253.33,304.7,179.33,24298795,6155542669,193599
11-06-2025,EQ,255.68,260.19,255.3,255.68,257.1,257.07,257.67,304.7,179.33,40554764,10449829999,175660
10-06-2025,EQ,256.8,256.8,252.35,256.84,255.3,255.68,255.01,304.7,179.33,36662941,9349580607,189051
09-06-2025,EQ,261.9,262.98,255.35,261.86,256.99,256.84,258.97,304.7,179.33,33660854,8717187542,269951
06-06-2025,EQ,256.56,264,256.01,256.56,261.9,261.86,260.78,304.7,146.3,66234457,17272787136,386010
05-06-2025,EQ,248,260.22,247.99,245.68,256.8,256.56,256.57,304.7,146.3,127795264,32788697450,456005
04-06-2025,EQ,237.1,248,237.1,237.7,245.33,245.68,243.19,304.7,146.3,70626622,17175538041,224934
03-06-2025,EQ,245,245.83,236.75,241.2,238.35,237.7,240.67,304.7,146.3,91875218,22111946213,249498
02-06-2025,EQ,237.31,243,236.11,238.31,240.92,241.2,240.69,304.7,146.3,55690205,13404094239,244435
30-05-2025,EQ,226.56,243,226.56,228.37,239.75,238.31,237.45,304.7,146.3,467574032,1.11027E+11,524106
29-05-2025,EQ,224.5,229.35,224.03,224.18,228.2,228.37,227.48,304.7,146.3,54574822,12414572056,217480
28-05-2025,EQ,225.9,225.9,223.2,224.79,224.29,224.18,224.29,304.7,146.3,43525027,9762241975,206525
27-05-2025,EQ,226.4,227.47,221.1,226.8,224.95,224.79,224.77,304.7,146.3,224659198,50496052594,683691
26-05-2025,EQ,232.8,232.8,225.65,237.55,226.65,226.8,228.18,304.7,146.3,89147299,20341245172,474027
23-05-2025,EQ,229.12,240.7,228.87,229.02,237.34,237.55,237.11,304.7,146.3,42180098,10001115997,211199
22-05-2025,EQ,228.97,230.88,227.03,229.97,229.87,229.02,228.81,304.7,146.3,28795944,6588757102,136959
21-05-2025,EQ,227,230.3,224.18,228.28,230.01,229.97,227.8,304.7,146.3,47166136,10744371950,231624
20-05-2025,EQ,240,240,227.88,238.03,228,228.28,231.14,304.7,146.3,45891392,10607470387,272306
19-05-2025,EQ,245.84,246.59,237.43,245.76,238.25,238.03,240.81,304.7,146.3,21817610,5253918643,146711
16-05-2025,EQ,242.6,246.94,242,242.59,244.9,245.76,245.02,304.7,146.3,30854384,7559835501,152112
15-05-2025,EQ,236.2,245.3,233.75,236.86,242.18,242.59,240.41,304.7,146.3,40335990,9697192437,191729
14-05-2025,EQ,232,237.44,232,231.65,236.27,236.86,235.44,304.7,146.3,23158211,5452465594,144650
13-05-2025,EQ,238,239.47,231.05,239.5,231.5,231.65,233.74,304.7,146.3,44837486,10480381214,309388
12-05-2025,EQ,232,240,232,227.14,239.05,239.5,236.98,304.7,146.3,31757003,7525650380,163171
09-05-2025,EQ,222,229,222,229.81,228.15,227.14,226.2,304.7,146.3,24415321,5522855143,255926
08-05-2025,EQ,235.25,236.45,226.6,236.9,227,229.81,230.27,304.7,146.3,49888442,11487618942,222882
07-05-2025,EQ,228.6,237.67,228.6,232.64,236.48,236.9,234.26,304.7,146.3,31614852,7406083013,137963
06-05-2025,EQ,240,241.5,231.85,239.9,232.7,232.64,235.04,304.7,146.3,25327712,5953028751,213490
05-05-2025,EQ,234.5,240.97,232.93,234.29,240.1,239.9,238.94,304.7,146.3,37948115,9067175347,240824
02-05-2025,EQ,220.05,239.5,220.05,232.52,234.41,234.29,234.13,304.7,146.3,104910316,24562471039,697809
30-04-2025,EQ,232,234.75,226.1,231.11,231.43,232.52,231.06,304.7,146.3,45831746,10590029248,213328
29-04-2025,EQ,228.37,234.24,226.6,227.21,231.16,231.11,230.59,304.7,146.3,32761971,7554710474,177098
28-04-2025,EQ,226,231.99,225.06,228.81,226.7,227.21,227.58,304.7,146.3,29327020,6674331222,146990
25-04-2025,EQ,235.9,239,227.31,236.38,227.71,228.81,231.73,304.7,146.3,32437650,7516617504,165167
24-04-2025,EQ,237,241.37,235,239.24,236.8,236.38,237.78,304.7,146.3,46103369,10962263426,186390
23-04-2025,EQ,237.48,240.25,233.05,237.47,238.15,239.24,237.42,304.7,146.3,42294685,10041669791,280063
22-04-2025,EQ,236,243.45,235,234.24,236.57,237.47,238.74,304.7,146.3,59667380,14245260299,320284
21-04-2025,EQ,229,235.3,227.1,231.6,234.22,234.24,232.13,304.7,146.3,66028533,15326976503,318929
17-04-2025,EQ,220.6,236.14,220.38,222.08,232,231.6,230.19,304.7,146.3,70125937,16142293628,302980
16-04-2025,EQ,220.51,222.64,218.4,222.23,221.85,222.08,221,304.7,146.3,26155875,5780329676,130093
15-04-2025,EQ,224.25,224.25,220.1,217.2,222.9,222.23,221.95,304.7,146.3,45034496,9995455681,194207
